Matricula,PROGRAMA EDUCATIVO,BAJA 1ER CUATRI,BAJA 2DO CUATRI,BAJA 3ER CUATRI,Estado civil,Hijos,Problema o padecimiento,Razonamiento matem‡tico,Razonamiento abstracto,R. Verbal,R. Espacial,Inform‡tica,C‡lculo,Comunicaci—n,Mec‡nico,Servicio,Finanzas,Trabaja,Ingreso mensual de padre,Ingreso mensual de madre,Ingresos mensuales familiares,UPQ Primera opci—n,Minutos de trayecto a la universidad,Probabilidad Baja (%)
124049807,1,,,,3,0,0,0.55,0.7,0.04,0.98,0.62,0.56,0.56,0.58,0.66,0.52,0,0,0,0,0,0.020833333,18.34249878
124050140,3,,,,3,0,0,0.75,0.1,0.2,0.95,0.72,0.76,0.8,0.74,0.88,0.78,0,0.083333333,0.02125,0.073125,0,0.010416667,15.64087582
124049077,1,,,,3,0,0,0.9,0.6,0.55,0.98,0.74,0.8,0.72,0.62,0.82,0.66,0,0.091666667,0,0.06875,0,0.041666667,13.98722076
124050209,1,,,,3,0,0,0.9,0.6,0.15,0.7,0.78,0.54,0.78,0.86,0.84,0.82,0,0,0,0,0,0.083333333,13.71475315
124049055,1,,,,3,0,0,0.7,0.6,0.15,0.7,0.56,0.6,0.64,0.64,0.76,0.66,1,0.091666667,0,0.06875,0,0.052083333,13.31758213
124050459,0,,,,3,0,0,0.9,0.9,0.99,0.9,0.6,0.68,0.66,0.38,0.8,0.6,0,0,0,0,0,0.072916667,12.92072678
124049289,0,,,,3,0,0,0.8,0.15,0.35,0.1,0.9,0.44,0.84,0.48,0.88,0.7,0,0,0,0,0,0.072916667,12.4967165
124048912,1,,,,3,0,0,0.55,0.35,0.1,0.65,0.72,0.6,0.82,0.72,0.86,0.76,1,0.145833333,0.15,0.1875,0,0.0625,12.01328754
124049368,0,,,,3,0,0,0.7,0.02,0.05,0.35,0.92,0.72,0.84,0.68,0.86,0.76,1,0,0,0,0,0.166666667,11.27224636
124049946,5,,,,3,0,0,0.75,0.15,0.7,0.4,0.74,0.58,0.6,0.82,0.68,0.7,1,0,0,0,0,0,11.11238003
124050391,1,,,,3,0,0,0.15,0.55,0.97,0.35,0.56,0.64,0.6,0.54,0.74,0.66,1,0.083333333,0.1875,0.15625,0,0.03125,10.81968021
124049323,1,,,,3,0,0,0.75,0.2,0.01,0.35,0.5,0.52,0.68,0.64,0.56,0.62,1,0,0,0,0,0.1875,10.48673534
124049568,1,,,,3,0,0,0.2,0.03,0.99,0.2,0.6,0.38,0.44,0.76,0.7,0.54,0,0.033333333,0,0.025,0,0.0625,10.38592148
124049324,3,,,,3,0,0,0.35,0.01,0.2,0.1,0.54,0.52,0.5,0.54,0.5,0.54,1,0.083333333,0,0.0625,0,0.041666667,10.28546715
124050439,4,,,,3,0,0,0.4,0.25,0.2,0.8,0.68,0.62,0.66,0.94,0.8,0.72,0,0.3,0,0.3125,0,0.020833333,9.749078751
124048998,4,,,,3,0,0,0.6,0.4,0.02,0.85,0.66,0.64,0.64,0.8,0.78,0.74,1,0,0,0,0,0.1875,9.495265007
124049748,3,,,,3,0,0,0.55,0.4,0.35,0.4,0.66,0.56,0.82,0.5,0.9,0.66,1,0.166666667,0.125,0.125,0,0.052083333,9.40561676
124049328,4,,,,3,0,0,0.4,0.15,0.04,0.2,0.62,0.6,0.6,0.6,0.68,0.68,1,0.01,0.015,0.0075,0,0.0625,8.886616707
124049896,1,,,,3,0,0,0.6,0.7,0.15,0.55,0.4,0.54,0.54,0.64,0.76,0.68,1,0.416666667,0.125,0.375,0,0.297916667,8.683391571
124049845,4,,,,3,0,0,0.85,0.55,0.04,0.75,0.44,0.62,0.54,0.52,0.72,0.5,0,0.333333333,0.125,0.3125,0,0.104166667,8.579669952
124048821,1,,,,3,0,0,0.9,0.15,0.2,0.04,0.76,0.74,0.78,0.78,0.9,0.78,1,0.083333333,0.01875,0.0000625,0,0.197916667,8.576356888
124049950,1,,,,3,0,0,0.35,0.02,0.2,0.04,0.62,0.56,0.6,0.42,0.68,0.48,0,0.041666667,0.025,0.125,0,0.125,8.461429596
124048882,4,,,,3,0,0,0,0.55,0.1,0.75,0.46,0.52,0.6,0.64,0.72,0.66,0,0.208333333,0.15,0.1875,0,0.072916667,8.422540665
124050288,0,,,,3,0,0,0,0.04,0.1,0.96,0.58,0.7,0.76,0.58,0.98,0.66,1,0.041666667,0.0375,0.05,0,0.1875,8.326690674
124049065,0,,,,3,0,0,0.4,0.02,0.04,0.3,0.38,0.46,0.36,0.46,0.6,0.58,0,0.0875,0.0625,0.04375,0,0.041666667,8.297449112
124049419,1,,,,3,0,0,0.4,0.35,0.2,0.4,0.64,0.7,0.7,0.9,0.84,0.7,1,0.1,0.1875,0.125,0,0.09375,8.189993858
124049020,6,,,,3,0,0,0.9,0.55,0.85,0.5,0.56,0.38,0.48,0.54,0.62,0.5,0,0,0,0,0,0.0625,8.148076057
124049240,4,,,,3,0,0,0,0.2,0.25,0.4,0.5,0.78,0.7,0.62,0.86,0.62,0,0.25,0,0.1875,0,0,8.146627426
124049309,1,,,,3,0,0,0.35,0.01,0.96,0.25,0.5,0.56,0.5,0.52,0.7,0.52,0,0.208333333,0.5,0.40625,0,0.0625,7.870056629
124049819,1,,,,3,0,0,0.25,0.1,0.04,0.35,0.6,0.62,0.62,0.76,0.66,0.68,0,0.166666667,0,0.125,0,0.375,7.845724583
124049041,4,,,,3,0,0,0.75,0.2,0.04,0.99,0.62,0.84,0.44,0.64,0.72,0.52,0,0.575,0,0.43125,0,0.041666667,7.795215607
124050108,2,,,,3,0,1,0.7,0.15,0.99,0.15,0.62,0.62,0.54,0.62,0.74,0.66,1,0,0,0,0,0.083333333,7.75300169
124050114,4,,,,3,0,0,0.85,0.55,0.55,0.55,0.9,0.84,0.94,0.8,0.98,0.8,0,0.1,0,0.075,0,0.3125,7.739648819
124049714,0,,,,3,0,1,0.7,0.4,0.5,0.2,0.58,0.4,0.62,0.42,0.78,0.54,0,0.1,0.0625,0.09375,0,0.052083333,7.614711761
124049913,5,,,,3,0,0,0.25,0.15,0.04,0.25,0.48,0.22,0.66,0.38,0.62,0.4,0,0,0,0,0,0.052083333,7.538778305
124049905,6,,,,3,0,0,0.9,0.85,0.04,0.55,0.6,0.78,0.64,0.54,0.66,0.66,0,0.041666667,0.05,0.00625,0,0.03125,7.488739491
124049915,4,,,,3,0,0,0,0.4,0.15,0.8,0.78,0.78,0.68,0.76,0.84,0.76,1,0,0.075,0.05,0,0.1875,7.185087204
124049171,1,,,,3,0,0,0.75,0.55,0.05,0.75,0.76,0.76,0.62,0.84,0.76,0.7,0,0.054166667,0,0.040625,1,0.01875,7.112555981
124049842,4,,,,3,0,0,0.85,0.7,0.1,0.95,0.68,0.7,0.36,0.6,0.72,0.48,0,0.266666667,0,0.2,0,0.125,7.092033386
124049977,1,,,,3,0,1,0.05,0.1,0.2,0.3,0.96,0.94,0.96,0.96,0.98,0.98,0,0.075,0,0.05625,0,0.09375,7.021275997
124048857,4,,,,3,0,0,0.9,0.75,0.4,0.9,0.82,0.68,0.76,0.92,0.9,0.74,0,0,0.125,0.15625,0,0.0625,7.011082649
124048729,4,,,,3,0,0,0.6,0.3,0.2,0.35,0.74,0.76,0.66,0.78,0.92,0.8,0,0.179166667,0,0,0,0.272916667,6.982031345
124050021,0,,,,3,0,1,0,0.55,0.25,0.95,0.76,0.84,0.66,0.72,0.72,0.82,1,0.083333333,0.1,0.1125,0,0.25,6.937325954
124050664,7,,,,3,0,0,0.8,0.3,0.2,0.75,0.46,0.66,0.6,0.4,0.62,0.58,0,0,0.075,0.0375,0,0.041666667,6.887479782
124049729,1,,,,3,0,0,0.9,0.2,0.1,0.4,0.56,0.56,0.64,0.64,0.66,0.7,1,0.058333333,0,0.1875,0,0.125,6.739855766
124049754,4,,,,3,0,0,0.35,0.01,0.02,0.1,0.78,0.74,0.8,0.82,0.68,0.7,0,0.75,0,0.5625,0,0.0625,6.535614491
124049983,6,,,,3,0,0,0.4,0.1,0.04,0.25,0.34,0.38,0.5,0.3,0.62,0.48,0,0,0,0,0,0.041666667,6.506474972
124048901,5,,,,3,0,0,0.1,0.03,0.3,0.2,0.56,0.5,0.6,0.52,0.72,0.6,0,0.01,0,0.03,0,0.083333333,6.498371601
124049258,7,,,,3,0,0,0.98,0.99,0.97,0.85,0.72,0.94,0.86,0.8,0.86,0.9,0,0.125,0.1625,0.1875,0,0.033333333,6.436116219
124049679,5,,,,3,0,0,0.35,0.25,0.01,0.3,0.5,0.28,0.4,0.44,0.68,0.4,0,0.083,0.1375,0.125,0,0.03125,6.393295288
