Folio;Proceso;ESTATUS DE INGRESO;BAJA 1ER CUATRI;BAJA 2DO CUATRI;BAJA 3ER CUATRI;PROGRAMA EDUCATIVO;Fecha de nacimiento;Género;Estado civil;Hijos;Número de hijos;Edades de los hijos;Ciudad de origen;Estado de origen;Trabaja;Trabajo;Horario;Turno;Salario mensual;Dependientes económicos;Número de dependientes económicos;Casa;Vive con;Número de personas con quien vive;Persona 1 con quien vive;Persona 2 con quien vive;Persona 3 con quien vive;Persona 4 con quien vive;Persona 5 con quien vive;Persona 6 con quien vive;Persona 7 con quien vive;Persona 8 con quien vive;Persona 9 con quien vive;Persona 10 con quien vive;Dormitorio compartido;¿Con cuántos?;Agua potable;Luz eléctrica;Drenaje;Internet;Cable;Computadora;Usa transporte público;Tarjeta RedQ;Automovil propio;Apoyo para traslados;Apoyo gubernamental;Tipo de apoyo;Escolaridad padre;Escolaridad madre;Ocupación padre;Trabajo de padre;Ingreso mensual de padre;Ocupación de madre;Trabajo de madre;Ingreso mensual de madre;Ingresos mensuales familiares;Hermanos;Edad hermano 1;Edad hermano 2;Edad hermano 3;Edad hermano 4;Edad hermano 5;Edad hermano 6;Edad hermano 7;Estudios de hermano 1;Estudios de hermano 2;Estudios de hermano 3;Estudios de hermano 4;Estudios de hermano 5;Estudios de hermano 6;Estudios de hermano 7;Nivel de estudios de hermano 1;Nivel de estudios de hermano 2;Nivel de estudios de hermano 3;Nivel de estudios de hermano 4;Nivel de estudios de hermano 5;Nivel de estudios de hermano 6;Nivel de estudios de hermano 7;UPQ Primera opción;¿Por qué no?;Minutos de trayecto a la universidad;Problema o padecimiento;¿Cuál?;Miembro de la familia con problema o padecimiento;¿Quién y cuál?;R. Verbal;R. Espacial;Fluidez verbal;Razonamiento matemático;Razonamiento abstracto;Actividad física;Arte;Cálculo;Mecánico;Comunicación;Empresas;Humanidades;Idiomas;Leyes;Música;Naturaleza;Salud;Servicio;Informática;Finanzas;Interpersonal;Lingüística;Lógica matemática;Motricidad fina;Musical;Naturaleza del entorno;Visual espacial;Motricidad gruesa;Intrapersonal;Naturaleza y salud;Comunicatividad;Empuje;Optimismo;Coherencia familiar;Autoestima;Creatividad;Autonomía;Adaptación;Negociación;Resilencia;Proactividad;Organización;Visual;Auditivo;Cinestésico;Motivación interna;Apoyo externo;El aspirante tiene buena vista;El aspirante cree tener adicciones (fumar, consumir alcohol o drogas);Hábitos de estudio;Tiene o ha tenido trastornos alimenticios (anorexia, bulimia, otros);Sufre de una enfermedad crónica (diabetes, asma, lupus u otra);Tiene buena audición;Técnicas de estudio;Máximo interés;Máxima inteligencia;Equilibrio emocional;Agrega comentarios y sugerencias sobre tu experiencia durante la prueba;Probabilidad Baja (%);BAJA;;
122044089;1er proceso;NI;;;;0;2004-04-27 00:00:00;Femenino;0;0;;;México;Querétaro;1;En un negocio familiar ;Horario a tu disposición;Matutino;0;No;;Propia;Familiares;5;Papá;Mamá;Hermana;Hermana;Hermano;;;;;;Si;1;Si;Si;Si;Si;Si;Sí, una laptop;Si;No;Si;Si;No;;Secundaria;Secundaria;Trabaja;En la construcción;8,47458E-05;Trabaja;Comercio;0,008;0,01125;3;16;12;10;18,14754098;21;24,30769231;30,5;Está cursando algún nivel;Está cursando algún nivel;Está cursando algún nivel;;;;;Bachillerato;Secundaria;Primaria;;;;;1;;0,007836153;0;;No;;0,46;0,46;29;0,49;0,55;50;27;0,63;0,17;0,48;62;45;54;88;24;84;96;0,37;0,05;0,78;78;67;85;89;24;94;65;71;62;96;85;69;89;99;99;81;72;85;81;80;82;59;37;40;22;100;100;Si;No;Si;No;No;Si;No;96;55;70;Mi experiencia fue un poco ansiosa ya u sentía que no terminaba, en las sucesiones de domino hubo un instante en el cual llegue a confundirme ;11,19550514;0;;
122043854;1er proceso;NI;;;;0;2004-07-03 00:00:00;Femenino;0;0;;;Querétaro;Querétaro;0;;;;0;No;;Propia;Familiares;5;Mamá;Papá;Hermana;Hermano;Abuela ;;;;;;Si;1;Si;Si;No;Si;No;Sí, una laptop;No;No;Si;Si;No;;Secundaria;Secundaria;Trabaja;Agricultor ;0,000144068;Trabaja;Comerciante ;0,017;0,02125;2;18;14;;18,14754098;21;24,30769231;30,5;Está cursando algún nivel;Está cursando algún nivel;;;;;;Bachillerato;Secundaria;;;;;;1;;0,001157614;0;;No;;0,37;0,71;29;0,92;0,33;75;95;0,44;0,36;0,7;99;72;47;84;99;66;78;0,96;0,59;0,78;66;35;41;24;90;51;28;62;5;38;21;2;37;39;26;81;18;7;41;3;8;4;28;37;33;100;80;Si;No;Si;No;No;Si;Si;99;92;35,5;Lo que yo sugiero es que dieran mas tiempo en cada modulo de preguntas ya que se me hizo un poco acelerado para pensar mejor.;9,752360344;0;;
122044224;1er proceso;NI;;;;0;2004-03-06 00:00:00;Masculino;0;0;;;Doctor Mora;Guanajuato;0;;;;0;No;;Propia;Familiares;4;papa;mama;hermana ;yo;;;;;;;No;;Si;Si;Si;Si;Si;Sí, una laptop;Si;No;No;Si;No;;Primaria;Secundaria;Trabaja;Agricultura;8,47458E-05;Hogar;;0;0,00625;4;31;28;26;16;21;24,30769231;30,5;Concluyó un nivel;Dejó algún nivel trunco;Dejó algún nivel trunco;Está cursando algún nivel;;;;Universidad;Bachillerato;Bachillerato;Bachillerato;;;;1;;0,006620072;0;;No;;0,09;0,46;34;0,49;0,82;75;88;0,8;0,63;0,92;99;95;73;86;66;75;71;0,82;0,53;0,78;16;35;11;21;65;80;33;36;6;64;21;6;5;5;2;0;12;15;24;21;12;17;57;35;6;100;100;No;No;Si;No;No;Si;Si;99;82;11;Creo que en algunas pruebas hace falta un poco mas de tiempo, fuera de eso las preguntas estuvieron muy bien organizadas.;11,9758215;0;;
122043865;1er proceso;NI;;BT;;0;2004-06-12 00:00:00;Femenino;0;0;;;Yurecuaro;Michoacán;0;;;;0;No;;Propia;Familiares;3;Madre;Padre;Hermana;;;;;;;;Si;1;Si;Si;Si;Si;Si;Sí, una computadora que NO es una laptop;Si;No;No;Si;No;;Licenciatura (o grado después de preparatoria);Licenciatura (o grado después de preparatoria);Trabaja;Empleado;0,000169492;Hogar;;0,009827466;0,025;1;6;;;18,14754098;21;24,30769231;30,5;Está cursando algún nivel;;;;;;;Primaria;;;;;;;1;;0,00160285;0;;No;;0,13;0,59;15;0,13;0,82;28;66;0,18;0,17;0,95;99;92;11;67;15;71;56;0,2;0,69;0,99;16;67;5;64;65;80;71;17;62;54;85;10;37;4;55;9;12;0;52;70;70;4;42;33;24;100;80;No;No;Si;No;No;Si;Si;99;82;39;La verdad si habia preguntas nunca me habian aplicado en todos mis grados de estudio, y habia pruebas que no habia visto pero no creo que haya sido tan dificil como todos me decian.;8,179627419;0;;
122044068;1er proceso;NI;;;BAC;0;2004-03-31 00:00:00;Femenino;0;0;;;distrito federal;Estado de México;1;barberia;Tiempo completo;Matutino;6000;No;;Propia;Familiares;3;papa;mama;hermano;;;;;;;;No;;Si;Si;Si;Si;Si;No;Si;No;Si;Si;No;;Secundaria;Secundaria;Trabaja;empresa;0,000118644;Trabaja;empresa;0,012;0,00625;1;12;;;18,14754098;21;24,30769231;30,5;Está cursando algún nivel;;;;;;;Primaria;;;;;;;1;;0,002493321;0;;No;;0,23;0,71;15;0,88;0,33;14;39;0,11;0,17;0,48;76;45;25;20;7;11;96;0,31;0,38;0,5;44;39;18;53;45;39;38;14;28;73;7;18;5;20;26;9;8;15;24;14;21;11;48;26;24;100;80;No;No;Si;No;No;Si;Si;96;88;36;venian varias palabras que en la vida no las habia escuchado pero otras que si,seria mas facil si fuera con otro tipo de preguntas y palabras que se escuchen a diario;10,51217079;0;;
122044007;1er proceso;NI;;;;0;1999-12-08 00:00:00;Masculino;0;0;;;México;Querétaro;0;;;;0;No;;Propia;Familiares;3;Padre;Madre;Hermano;;;;;;;;Si;1;Si;Si;Si;Si;Si;Sí, una laptop;No;Si;Si;Si;No;;Secundaria;Licenciatura (o grado después de preparatoria);Trabaja;Pintura y hojalateria de camiones turisticos;7,62712E-05;Hogar;;0,009827466;0,025;1;20;;;18,14754098;21;24,30769231;30,5;Está cursando algún nivel;;;;;;;Universidad;;;;;;;1;;0,001157614;0;;No;;0,33;0,95;61;0,13;0,75;11;88;0,21;0,32;0,64;76;84;47;81;66;66;71;0,49;0,53;0,5;44;67;28;48;86;71;61;36;28;94;21;18;16;14;17;58;18;85;24;21;8;17;42;35;22;100;100;No;No;No;No;No;Si;Si;88;95;36;No tengo ninguna queja ni comentario puesto que se me hizo corto en ciertos aspectos y en otros o únicos pesados fue cuando realmente no se entendía cierto habla que no viene en mi vocablo.;12,80912018;0;;
122043917;1er proceso;NI;BAC;;;0;2004-06-14 00:00:00;Masculino;0;0;;;estado de mexico;Estado de México;0;;;;0;No;;Propia;Familiares;5;papa;mama;hermana;hermano;hermano ;;;;;;No;;Si;Si;Si;Si;Si;Sí, una laptop;No;No;No;Si;No;;Secundaria;Secundaria;Trabaja;jefe de un taller ;8,47458E-05;Ninguno/No aplica;;0;0,00875;7 o más;25;39;35;33;29;28;21;Concluyó un nivel;Concluyó un nivel;Concluyó un nivel;;;;;Posgrado;Posgrado;Posgrado;Posgrado;Posgrado;Posgrado;Posgrado;1;;0,00160285;0;;No;;0,03;0,04;0;0,24;0,09;50;32;0,8;0,19;0,32;62;38;8;13;7;20;14;0,42;0,12;0,69;34;35;24;12;13;2;3;36;12;16;70;2;16;99;99;58;87;99;99;80;91;89;64;24;11;100;100;Si;Si;Si;No;No;Si;Si;80;24;23;me gusto presentar esta prueba para saber mis conocimientos y habilidades que tengo;5,75373745;0;;
122044003;1er proceso;NI;;;;0;2004-03-10 00:00:00;Femenino;0;0;;;queretaro;Querétaro;0;;;;0;No;;Propia;Familiares;5;mama;papa;hermano;cuñada;sobrino;;;;;;Si;3;Si;Si;Si;Si;No;No;Si;No;No;Si;No;;Secundaria;Primaria;Trabaja;obrero;2,11864E-05;Trabaja;obrera;0,0038;0,00375;1;21;;;18,14754098;21;24,30769231;30,5;Dejó algún nivel trunco;;;;;;;Bachillerato;;;;;;;1;;0,006620072;0;;No;;0,07;0,04;3;0,36;0,16;44;71;0;0,27;0,79;76;72;25;71;73;71;71;0,82;0,27;0,34;39;51;2;80;86;92;76;49;62;94;55;18;37;67;55;91;18;85;32;42;45;59;31;46;22;80;100;Si;No;Si;No;No;Si;No;82;36;50,5;me gusto mucho la organizacion de la prueba realmente conteste con mucha cinceridad y me parecio todo muy padre.;4,844748497;0;;
122044132;1er proceso;NI;;;;0;2001-09-17 00:00:00;Femenino;0;0;;;Queretaro;Querétaro;0;;;;0;No;;Propia;Familiares;4;padre;madre;hermana;hermano;;;;;;;No;;Si;Si;Si;Si;No;Sí, una laptop;No;No;Si;Si;No;;Licenciatura (o grado después de preparatoria);Preparatoria;Trabaja;negocio propio;0,000508475;Hogar;;0;0,0375;3;30;17;11;18,14754098;21;24,30769231;30,5;Concluyó un nivel;Concluyó un nivel;Concluyó un nivel;;;;;Universidad;Bachillerato;Primaria;;;;;1;;0,00160285;0;;No;;0,88;0,82;61;0,98;0,96;82;99;0,38;0,19;0,7;76;72;99;57;24;84;61;0,65;0,15;0,55;81;73;51;95;61;89;93;71;77;87;21;57;89;29;55;58;81;85;63;56;82;95;46;33;20;100;100;Si;No;Si;No;No;Si;Si;99;98;79;todo muy bien con la prueba.;9,872906685;0;;
122043906;1er proceso;NI;;BV;;0;2004-11-06 00:00:00;Femenino;0;0;;;Pachuca;Hidalgo;0;;;;0;No;;Rentada;Familiares;3;papá;mamá;hermana;;;;;;;;No;;Si;Si;Si;Si;Si;Sí, una laptop;Si;Si;No;No;No;;Licenciatura (o grado después de preparatoria);Licenciatura (o grado después de preparatoria);Trabaja;Ingeniero en sistemas;0,000338983;Trabaja;Maestra;0,02;0,0375;1;3 años;;;18,14754098;21;24,30769231;30,5;Está cursando algún nivel;;;;;;;Preescolar;;;;;;;1;;0,007836153;0;;No;;0,83;0,95;75;0,96;0,33;1;85;0,27;0,13;0,64;99;53;83;53;52;11;14;0,31;0,31;0,69;55;86;55;30;54;23;91;32;62;7;31;42;37;39;26;13;50;52;41;56;45;89;46;37;15;100;100;Si;No;Si;No;No;Si;No;99;96;58,5;Me agradó que la prueba estuvo dividida en diferentes secciones y dieran un tiempo considerable paracada una de estas ;7,712470531;0;;
